,year featured,track_name,track_popularity,release_date,playlist_id,playlist_name,lead_artist,supporting_artists
49tW2u59iX2z2thHLkYYo5,2017,Time,55,2020-06-19,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,The National Parks,
7iH6cflAGYwR82sNMZiGuq,2017,Until You,62,2021-06-18,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,AHI,
4FxBG9VPpxPXMDgqLgW5ZD,2017,Hold On,53,2021-03-26,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,John Smith,
46quRQAj7MxBJ38B5EyJOc,2017,Making Do,55,2020-09-30,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Lake Street Dive,
7sgecWk9KRFYXk7lokoF4z,2017,Take Some Time,51,2021-10-15,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Wilderado,
4VXrKn9SikNycIZdmmLaUF,2017,Wild World,51,2020-06-25,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Marc Scibilia,
5HlqJxuU7T8Tqn56f2d3Pg,2017,Feet Off The Ground (feat. Jade Bird),53,2019-09-13,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Brent Cobb,"Jade Bird, "
0SqfoSpuWsk4CJpCX2LvCD,2017,Song In My Head,53,2019-08-16,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Madison Cunningham,
71UTcCow2CVqk8PkDsIrXq,2017,Strong Enough,50,2020-05-29,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Ray LaMontagne,
6fS1CEMY4LlvQNWuUMoWEQ,2017,Mockingbird,60,2018-09-07,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Ruston Kelly,
1dNxCqZyAl9XhIDX578usC,2017,Pontiac,58,2021-02-26,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Mat Kearney,
2ehQ2UuXplkqly0XBBAPud,2017,Deep In Love,40,2020-01-24,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Bonny Light Horseman,"Eric D. Johnson, Josh Kaufman, Anaïs Mitchell, "
4w5nZwiTpDMTVQdugsXWW7,2017,Sanctuary,16,2021-01-13,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Hiss Golden Messenger,
0T4SSmBlTtKAvcqZo8LT6i,2017,Slowly,50,2019-11-15,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Josh Gilligan,
3BICHhGJhJNlmCCsHCwVNl,2017,Hot Tears,51,2019-06-18,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Leif Vollebekk,
5NRbNXwXHM9mYgxMhzVWTP,2017,Not Dead Yet,61,2021-02-19,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Lord Huron,
64iXPlkVfgkSYRvE0CXij0,2017,Highroad,54,2019-06-11,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Sir Woman,
0VcVy0kpfwyd5rMS5URyVD,2017,Joyride,57,2019-07-18,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Adam Melchor,
15iPAASNam7qF7sgYpQQJF,2017,And It's Still Alright,0,2020-01-08,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Nathaniel Rateliff,
602rw0d0jQLoSCAfqdeY7Z,2017,Yours in the Morning,48,2021-02-12,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Patrick Droney,
2BtUkMC928pz4Yqz27ZQo9,2017,Side By Side,52,2021-02-12,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Jon Foreman,"Madison Cunningham, "
4uO3hRTEzOTN51gJBKU4Xg,2017,I Got You,4,2020-06-05,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Michael Franti & Spearhead,
1zsNRFaPx18PfKaP9tJqu1,2017,Witness,0,2020-05-21,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Mt. Joy,
3gaH1EhTC53WZeFRj3hGtp,2017,Long Blue Light,65,2020-11-10,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Leif Vollebekk,
0c7iF5fSBYxCuwsAv2z4iI,2017,Green Mountain State,66,2014-06-17,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Trevor Hall,
0WH1FwH09z2iJ84dRFODcm,2017,Sometimes Love Takes So Long,0,2019-08-01,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Illiterate Light,
4XBznaFt4lPJY6s9VBHYUt,2017,Tomorrow,53,2020-03-13,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Jake Isaac,"The Kingdom Choir, "
2vBnxZkr6K0Py6iTxHXUKS,2017,Black Jeans,47,2019-04-19,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Lucie Silvas,
7i8MdTMo8ZibQhvhqzWhIJ,2017,I Need a Teacher,0,2019-06-11,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Hiss Golden Messenger,
